episode,episode_length,epsilon,timestamp,total_reward
348,15,0.9657968760541503,2026-01-14T19:56:08.339923,0.0
349,6,0.9657002963665449,2026-01-14T19:56:08.339923,0.0
350,23,0.9656037263369083,2026-01-14T19:56:08.339923,0.0
351,37,0.9655071659642745,2026-01-14T19:56:08.339923,0.0
352,13,0.9654106152476781,2026-01-14T19:56:08.339923,0.0
353,56,0.9653140741861533,2026-01-14T19:56:08.340924,0.0
354,25,0.9652175427787347,2026-01-14T19:56:08.340924,0.0
355,14,0.9651210210244568,2026-01-14T19:56:08.340924,0.0
356,5,0.9650245089223544,2026-01-14T19:56:08.340924,0.0
357,41,0.9649280064714622,2026-01-14T19:56:08.341915,0.0
358,56,0.964831513670815,2026-01-14T19:56:08.341915,0.0
359,21,0.9647350305194479,2026-01-14T19:56:08.342924,0.0
360,27,0.9646385570163959,2026-01-14T19:56:08.342924,0.0
361,7,0.9645420931606943,2026-01-14T19:56:08.342924,0.0
362,11,0.9644456389513782,2026-01-14T19:56:08.342924,0.0
363,30,0.9643491943874831,2026-01-14T19:56:08.343916,0.0
364,21,0.9642527594680443,2026-01-14T19:56:08.343916,0.0
365,11,0.9641563341920976,2026-01-14T19:56:08.343916,0.0
366,45,0.9640599185586783,2026-01-14T19:56:08.344927,0.0
367,43,0.9639635125668224,2026-01-14T19:56:08.344927,0.0
368,16,0.9638671162155658,2026-01-14T19:56:08.344927,0.0
369,7,0.9637707295039442,2026-01-14T19:56:08.345926,0.0
370,13,0.9636743524309938,2026-01-14T19:56:08.345926,0.0
371,67,0.9635779849957506,2026-01-14T19:56:08.345926,0.0
372,40,0.9634816271972511,2026-01-14T19:56:08.346925,0.0
373,17,0.9633852790345313,2026-01-14T19:56:08.346925,0.0
374,21,0.9632889405066278,2026-01-14T19:56:08.346925,0.0
375,17,0.9631926116125772,2026-01-14T19:56:08.346925,0.0
376,29,0.9630962923514159,2026-01-14T19:56:08.347926,0.0
377,12,0.9629999827221808,2026-01-14T19:56:08.347926,0.0
378,89,0.9629036827239086,2026-01-14T19:56:08.348941,0.0
379,15,0.9628073923556362,2026-01-14T19:56:08.348941,0.0
380,63,0.9627111116164007,2026-01-14T19:56:08.349942,0.0
381,33,0.962614840505239,2026-01-14T19:56:08.349942,0.0
382,8,0.9625185790211885,2026-01-14T19:56:08.349942,0.0
383,34,0.9624223271632865,2026-01-14T19:56:08.349942,0.0
384,59,0.9623260849305701,2026-01-14T19:56:08.350946,0.0
385,14,0.9622298523220771,2026-01-14T19:56:08.350946,0.0
386,33,0.962133629336845,2026-01-14T19:56:08.351932,0.0
387,30,0.9620374159739113,2026-01-14T19:56:08.351932,0.0
388,9,0.961941212232314,2026-01-14T19:56:08.351932,0.0
389,32,0.9618450181110908,2026-01-14T19:56:08.351932,0.0
390,25,0.9617488336092797,2026-01-14T19:56:08.352942,0.0
391,19,0.9616526587259188,2026-01-14T19:56:08.352942,0.0
392,32,0.9615564934600462,2026-01-14T19:56:08.352942,0.0
393,20,0.9614603378107003,2026-01-14T19:56:08.352942,0.0
394,29,0.9613641917769192,2026-01-14T19:56:08.353942,0.0
395,54,0.9612680553577415,2026-01-14T19:56:08.353942,0.0
396,11,0.9611719285522058,2026-01-14T19:56:08.353942,0.0
397,16,0.9610758113593506,2026-01-14T19:56:08.354942,0.0
398,23,0.9609797037782147,2026-01-14T19:56:08.354942,0.0
399,22,0.9608836058078369,2026-01-14T19:56:08.354942,0.0
400,69,0.9607875174472562,2026-01-14T19:56:08.355942,0.0
401,19,0.9606914386955115,2026-01-14T19:56:08.355942,0.0
402,16,0.960595369551642,2026-01-14T19:56:08.355942,0.0
403,48,0.9604993100146869,2026-01-14T19:56:08.356940,0.0
404,32,0.9604032600836855,2026-01-14T19:56:08.356940,0.0
405,13,0.9603072197576771,2026-01-14T19:56:08.356940,0.0
406,91,0.9602111890357014,2026-01-14T19:56:08.357942,0.0
407,22,0.9601151679167977,2026-01-14T19:56:08.357942,0.0
408,27,0.9600191564000061,2026-01-14T19:56:08.358946,0.0
409,51,0.9599231544843662,2026-01-14T19:56:08.359934,0.0
410,37,0.9598271621689177,2026-01-14T19:56:08.359934,0.0
411,75,0.9597311794527008,2026-01-14T19:56:08.360933,0.0
412,15,0.9596352063347555,2026-01-14T19:56:08.360933,0.0
413,51,0.9595392428141221,2026-01-14T19:56:08.360933,0.0
414,28,0.9594432888898407,2026-01-14T19:56:08.361932,0.0
415,34,0.9593473445609517,2026-01-14T19:56:08.361932,0.0
416,9,0.9592514098264956,2026-01-14T19:56:08.361932,0.0
417,28,0.9591554846855129,2026-01-14T19:56:08.361932,0.0
418,46,0.9590595691370444,2026-01-14T19:56:08.362932,0.0
419,51,0.9589636631801307,2026-01-14T19:56:08.362932,0.0
420,100,0.9588677668138127,2026-01-14T19:56:08.363932,0.0
421,62,0.9587718800371313,2026-01-14T19:56:08.364955,0.0
